"telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"Dunatetétlen","HH","Kalocsai","Bács-Kiskun","Dél-Alföld",0
"Dunavarsány","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Dunavecse","HH","Kunszentmiklósi","Bács-Kiskun","Dél-Alföld",1
"Dunaújváros","nem_hatranyos _besorolasu","Dunaújvárosi","Fejér","Közép-Dunántúl",0
"Dusnok","HH","Kalocsai","Bács-Kiskun","Dél-Alföld",0
"Dág","nem_hatranyos _besorolasu","Dorogi","Komárom-Esztergom","Közép-Dunántúl",0
"Dáka","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Dámóc","LHHK","Bodrogközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Dánszentmiklós","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",0
"Dány","nem_hatranyos _besorolasu","Gödöllői","Pest","Közép-magyarország",0
"Dávod","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"Dédestapolcsány","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Dég","HH","Enyingi","Fejér","Közép-Dunántúl",0
"Délegyháza","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Dénesfa","nem_hatranyos _besorolasu","Kapuvár-Beledi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Dévaványa","LHH","Szeghalomi","Békés","Dél-Alföld",0
"Dóc","nem_hatranyos _besorolasu","Szegedi","Csongrád","Dél-Alföld",0
"Döbröce","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Döbrököz","HH","Dombóvári","Tolna","Dél-Dunántúl",0
"Döbrönte","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Döbörhegy","nem_hatranyos _besorolasu","Körmendi","Vas","Nyugat-Dunántúl",0
"Döge","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Dömsöd","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",0
"Dömös","nem_hatranyos _besorolasu","Esztergomi","Komárom-Esztergom","Közép-Dunántúl",0
"Dör","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Dörgicse","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",0
"Döröske","nem_hatranyos _besorolasu","Körmendi","Vas","Nyugat-Dunántúl",0
"Dötk","HH","Zalaszentgróti","Zala","Nyugat-Dunántúl",0
"Dövény","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Dúzs","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Ebergőc","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Ebes","nem_hatranyos _besorolasu","Hajdúszoboszlói","Hajdú-Bihar","Észak-Alföld",0
"Ecseg","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Ecsegfalva","LHH","Szeghalomi","Békés","Dél-Alföld",0
"Ecseny","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Ecser","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",0
"Ecséd","nem_hatranyos _besorolasu","Hatvani","Heves","Észak-Magyarország",0
"Edde","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Edelény","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Edve","nem_hatranyos _besorolasu","Kapuvár-Beledi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Eger","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",1
"Egeralja","nem_hatranyos _besorolasu","Devecseri","Veszprém","Közép-Dunántúl",0
"Egeraracsa","HH","Pacsai","Zala","Nyugat-Dunántúl",0
"Egerbakta","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",0
"Egerbocs","HH","Bélapátfalvai","Heves","Észak-Magyarország",0
"Egercsehi","HH","Bélapátfalvai","Heves","Észak-Magyarország",0
"Egerfarmos","HH","Füzesabonyi","Heves","Észak-Magyarország",0
"Egerlövő","HH","Mezőkövesdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Egerszalók","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",0
"Egerszólát","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",0
"Egervár","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Egervölgy","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Egerág","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Egyed","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Egyek","LHH","Balmazújvárosi","Hajdú-Bihar","Észak-Alföld",0
"Egyházasdengeleg","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Egyházasfalu","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Egyházasgerge","LHH","Salgótarjáni","Nógrád","Észak-Magyarország",0
"Egyházasharaszti","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Egyházashetye","nem_hatranyos _besorolasu","Celldömölki","Vas","Nyugat-Dunántúl",0
"Egyházashollós","nem_hatranyos _besorolasu","Körmendi","Vas","Nyugat-Dunántúl",0
"Egyházaskesző","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Egyházaskozár","HH","Komlói","Baranya","Dél-Dunántúl",0
"Egyházasrádóc","nem_hatranyos _besorolasu","Körmendi","Vas","Nyugat-Dunántúl",0
"Elek","nem_hatranyos _besorolasu","Gyulai","Békés","Dél-Alföld",0
"Ellend","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Előszállás","nem_hatranyos _besorolasu","Dunaújvárosi","Fejér","Közép-Dunántúl",0
"Emőd","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Encs","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Encsencs","LHHK","Nyírbátori","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Endrefalva","LHH","Szécsényi","Nógrád","Észak-Magyarország",0
"Endrőc","nem_hatranyos _besorolasu","Szigetvári","Baranya","Dél-Dunántúl",0
"Enese","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Enying","HH","Enyingi","Fejér","Közép-Dunántúl",1
"Eperjes","HH","Szentesi","Csongrád","Dél-Alföld",0
"Eperjeske","HH","Záhonyi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Eplény","nem_hatranyos _besorolasu","Zirci","Veszprém","Közép-Dunántúl",0
"Epöl","nem_hatranyos _besorolasu","Dorogi","Komárom-Esztergom","Közép-Dunántúl",0
"Ercsi","nem_hatranyos _besorolasu","Ercsi","Fejér","Közép-Dunántúl",0
"Erdőbénye","LHHK","Tokaji","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Erdőhorváti","LHHK","Sárospataki","Borsod-Abaúj-Zemplén","Észak-Magyarország",1
"Erdőkertes","nem_hatranyos _besorolasu","Veresegyházi","Pest","Közép-magyarország",0
"Erdőkövesd","LHH","Pétervásárai","Heves","Észak-Magyarország",0
"Erdőkürt","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Erdősmecske","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Erdősmárok","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Erdőtarcsa","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Erdőtelek","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Erk","LHHK","Hevesi","Heves","Észak-Magyarország",0
"Erzsébet","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Eszteregnye","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Esztergom","nem_hatranyos _besorolasu","Esztergomi","Komárom-Esztergom","Közép-Dunántúl",1
"Esztergályhorváti","nem_hatranyos _besorolasu","Keszthelyi","Zala","Nyugat-Dunántúl",0
"Esztár","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Ete","HH","Kisbéri","Komárom-Esztergom","Közép-Dunántúl",0
"Etes","LHH","Salgótarjáni","Nógrád","Észak-Magyarország",0
"Etyek","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",0
"Fadd","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Fajsz","HH","Kalocsai","Bács-Kiskun","Dél-Alföld",0
"Fancsal","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Farkasgyepű","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Farkaslyuk","LHHK","Ózdi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Farmos","nem_hatranyos _besorolasu","Nagykátai","Pest","Közép-magyarország",0
"Farád","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fazekasboda","HH","Pécsváradi","Baranya","Dél-Dunántúl",0
"Fedémes","LHH","Pétervásárai","Heves","Észak-Magyarország",0
"Fegyvernek","HH","Törökszentmiklósi","Jász-Nagykun-Szolnok","Észak-Alföld",0
"Fehérgyarmat","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",1
"Fehértó","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fehérvárcsurgó","nem_hatranyos _besorolasu","Móri","Fejér","Közép-Dunántúl",0
"Feked","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Feketeerdő","nem_hatranyos _besorolasu","Mosonmagyaróvári","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Felcsút","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",0
"Feldebrő","HH","Egri","Heves","Észak-Magyarország",0
"Felgyő","HH","Csongrádi","Csongrád","Dél-Alföld",0
"Felpéc","nem_hatranyos _besorolasu","Téti","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Felsőberecki","LHHK","Bodrogközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőcsatár","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Felsődobsza","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőegerszeg","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Felsőgagy","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőjánosfa","HH","Őriszentpéteri","Vas","Nyugat-Dunántúl",0
"Felsőkelecsény","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőlajos","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",0
"Felsőmarác","nem_hatranyos _besorolasu","Őriszentpéteri","Vas","Nyugat-Dunántúl",0
"Felsőmocsolád","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Felsőnyárád","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőnyék","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Felsőnána","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Felsőpakony","nem_hatranyos _besorolasu","Gyáli","Pest","Közép-magyarország",0
"Felsőpetény","nem_hatranyos _besorolasu","Rétsági","Nógrád","Észak-Magyarország",0
"Felsőpáhok","nem_hatranyos _besorolasu","Hévízi","Zala","Nyugat-Dunántúl",0
"Felsőrajk","HH","Pacsai","Zala","Nyugat-Dunántúl",0
"Felsőregmec","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőszenterzsébet","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Felsőszentiván","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"Felsőszentmárton","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Felsőszölnök","nem_hatranyos _besorolasu","Szentgotthárdi","Vas","Nyugat-Dunántúl",0
"Felsőtelekes","HH","Kazincbarcikai","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőtold","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Felsőtárkány","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",0
"Felsővadász","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőzsolca","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Felsőörs","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"Fenyőfő","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Ferencszállás","HH","Makói","Csongrád","Dél-Alföld",0
"Fertőboz","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fertőd","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fertőendréd","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fertőhomok","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fertőrákos","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fertőszentmiklós","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fertőszéplak","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Fiad","LHH","Tabi","Somogy","Dél-Dunántúl",0
"Filkeháza","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Fityeház","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Foktő","HH","Kalocsai","Bács-Kiskun","Dél-Alföld",0
"Folyás","HH","Polgári","Hajdú-Bihar","Észak-Alföld",0
"Fony","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Fonyód","nem_hatranyos _besorolasu","Fonyódi","Somogy","Dél-Dunántúl",0
"Fonó","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Forráskút","LHH","Mórahalomi","Csongrád","Dél-Alföld",0
"Forró","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Fulókércs","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Furta","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Fábiánháza","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Fábiánsebestyén","HH","Szentesi","Csongrád","Dél-Alföld",0
"Fácánkert","nem_hatranyos _besorolasu","Szekszárdi","Tolna","Dél-Dunántúl",0
"Fáj","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Fényeslitke","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Fót","nem_hatranyos _besorolasu","Dunakeszi","Pest","Közép-magyarország",1
"Földes","LHH","Püspökladányi","Hajdú-Bihar","Észak-Alföld",0
"Földeák","HH","Makói","Csongrád","Dél-Alföld",0
"Füle","nem_hatranyos _besorolasu","Székesfehérvári","Fejér","Közép-Dunántúl",0
"Fülesd","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Fülpösdaróc","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Fülöp","LHH","Hajdúhadházi","Hajdú-Bihar","Észak-Alföld",0
"Fülöpháza","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",0
"Fülöpjakab","nem_hatranyos _besorolasu","Kiskunfélegyházai","Bács-Kiskun","Dél-Alföld",0
"Fülöpszállás","HH","Kiskőrösi","Bács-Kiskun","Dél-Alföld",0
"Fürged","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Füzesabony","HH","Füzesabonyi","Heves","Észak-Magyarország",0
"Füzesgyarmat","LHH","Szeghalomi","Békés","Dél-Alföld",0
"Füzér","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Füzérkajata","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Füzérkomlós","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Füzérradvány","HH","Sátoraljaújhelyi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Főnyed","HH","Marcali","Somogy","Dél-Dunántúl",0
"Fűzvölgy","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Gacsály","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Gadna","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Gadács","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Gadány","HH","Marcali","Somogy","Dél-Dunántúl",0
"Gagyapáti","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Gagybátor","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Gagyvendégi","LHHK","Szikszói","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Galambok","HH","Zalakarosi","Zala","Nyugat-Dunántúl",0
"Galgaguta","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"Galgagyörk","nem_hatranyos _besorolasu","Váci","Pest","Közép-magyarország",0
"Galgahévíz","nem_hatranyos _besorolasu","Aszódi","Pest","Közép-magyarország",0
"Galgamácsa","nem_hatranyos _besorolasu","Veresegyházi","Pest","Közép-magyarország",0
"Galvács","LHHK","Edelényi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Gamás","nem_hatranyos _besorolasu","Fonyódi","Somogy","Dél-Dunántúl",0
"Ganna","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Gara","nem_hatranyos _besorolasu","Bajai","Bács-Kiskun","Dél-Alföld",0
"Garabonc","HH","Zalakarosi","Zala","Nyugat-Dunántúl",0
"Garadna","LHHK","Encsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Garbolc","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Garáb","HH","Pásztói","Nógrád","Észak-Magyarország",0
"Garé","HH","Siklósi","Baranya","Dél-Dunántúl",0
"Gasztony","nem_hatranyos _besorolasu","Szentgotthárdi","Vas","Nyugat-Dunántúl",0
"Gecse","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Gelej","LHHK","Mezőcsáti","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Gellénháza","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Gelse","HH","Zalakarosi","Zala","Nyugat-Dunántúl",0
"Gelsesziget","nem_hatranyos _besorolasu","Nagykanizsai","Zala","Nyugat-Dunántúl",0
"Gelénes","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Gemzse","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Gencsapáti","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Gerde","HH","Szentlőrinci","Baranya","Dél-Dunántúl",0
"Gerendás","HH","Orosházai","Békés","Dél-Alföld",0
"Geresdlak","HH","Mohácsi","Baranya","Dél-Dunántúl",0
"Gerjen","nem_hatranyos _besorolasu","Paksi","Tolna","Dél-Dunántúl",0
"Gersekarát","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Gerényes","LHHK","Sásdi","Baranya","Dél-Dunántúl",0
"Geszt","LHHK","Sarkadi","Békés","Dél-Alföld",0
"Gesztely","nem_hatranyos _besorolasu","Miskolci","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Geszteréd","HH","Nagykállói","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Gic","nem_hatranyos _besorolasu","Pápai","Veszprém","Közép-Dunántúl",0
"Gige","LHHK","Kadarkúti","Somogy","Dél-Dunántúl",0
"Gilvánfa","LHHK","Sellyei","Baranya","Dél-Dunántúl",0
"Girincs","nem_hatranyos _besorolasu","Tiszaújvárosi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Golop","LHHK","Szerencsi","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Gomba","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",1
"Gombosszeg","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Gordisa","nem_hatranyos _besorolasu","Siklósi","Baranya","Dél-Dunántúl",0
"Gosztola","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Grábóc","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Gulács","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Gutorfölde","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Gyalóka","nem_hatranyos _besorolasu","Sopron-Fertődi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Gyanógeregye","nem_hatranyos _besorolasu","Szombathelyi","Vas","Nyugat-Dunántúl",0
"Gyarmat","nem_hatranyos _besorolasu","Téti","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Gyenesdiás","nem_hatranyos _besorolasu","Keszthelyi","Zala","Nyugat-Dunántúl",0
"Gyepükaján","HH","Sümegi","Veszprém","Közép-Dunántúl",0
"Gyermely","nem_hatranyos _besorolasu","Tatabányai","Komárom-Esztergom","Közép-Dunántúl",0
"Gyomaendrőd","HH","Szarvasi","Békés","Dél-Alföld",0
"Gyugy","LHHK","Lengyeltóti","Somogy","Dél-Dunántúl",0
"Gyula","nem_hatranyos _besorolasu","Gyulai","Békés","Dél-Alföld",1
"Gyulaháza","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Gyulaj","HH","Dombóvári","Tolna","Dél-Dunántúl",0
"Gyulakeszi","nem_hatranyos _besorolasu","Tapolcai","Veszprém","Közép-Dunántúl",0
"Gyál","nem_hatranyos _besorolasu","Gyáli","Pest","Közép-magyarország",0
"Gyékényes","LHHK","Csurgói","Somogy","Dél-Dunántúl",0
"Gyód","nem_hatranyos _besorolasu","Pécsi","Baranya","Dél-Dunántúl",0
"Gyóró","nem_hatranyos _besorolasu","Kapuvár-Beledi","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Gyömrő","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",0
"Gyömöre","nem_hatranyos _besorolasu","Téti","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Gyöngyfa","HH","Szentlőrinci","Baranya","Dél-Dunántúl",0
"Gyöngyös","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Gyöngyösfalu","nem_hatranyos _besorolasu","Kőszegi","Vas","Nyugat-Dunántúl",0
"Gyöngyöshalász","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Gyöngyösmellék","LHHK","Szigetvári","Baranya","Dél-Dunántúl",0
"Gyöngyösoroszi","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Gyöngyöspata","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Gyöngyössolymos","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Gyöngyöstarján","nem_hatranyos _besorolasu","Gyöngyösi","Heves","Észak-Magyarország",0
"Gyönk","LHHK","Tamási","Tolna","Dél-Dunántúl",0
"Györe","nem_hatranyos _besorolasu","Bonyhádi","Tolna","Dél-Dunántúl",0
"Györgytarló","LHHK","Sárospataki","Borsod-Abaúj-Zemplén","Észak-Magyarország",0
"Györköny","nem_hatranyos _besorolasu","Paksi","Tolna","Dél-Dunántúl",0
"Gyúró","nem_hatranyos _besorolasu","Ercsi","Fejér","Közép-Dunántúl",0
"Gyügye","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Gyüre","LHHK","Vásárosnaményi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Győr","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",1
"Győrasszonyfa","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Győrladamér","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Győrszemere","nem_hatranyos _besorolasu","Téti","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Győrság","nem_hatranyos _besorolasu","Pannonhalmai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Győrsövényház","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Győrtelek","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Győrvár","HH","Vasvári","Vas","Nyugat-Dunántúl",0
"Győrzámoly","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Győröcske","HH","Záhonyi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Győrújbarát","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Győrújfalu","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",0
"Gyűrűs","nem_hatranyos _besorolasu","Zalaegerszegi","Zala","Nyugat-Dunántúl",0
"Gáborján","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",0
"Gáborjánháza","nem_hatranyos _besorolasu","Lenti","Zala","Nyugat-Dunántúl",0
"Gádoros","HH","Orosházai","Békés","Dél-Alföld",0
"Gálosfa","HH","Kaposvári","Somogy","Dél-Dunántúl",0
"Gánt","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",0
"Gárdony","nem_hatranyos _besorolasu","Gárdonyi","Fejér","Közép-Dunántúl",1
"Gátér","nem_hatranyos _besorolasu","Kiskunfélegyházai","Bács-Kiskun","Dél-Alföld",0
"Gávavencsellő","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Géberjén","LHHK","Mátészalkai","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Géderlak","HH","Kalocsai","Bács-Kiskun","Dél-Alföld",0
"Gégény","LHH","Ibrány-Nagyhalászi","Szabolcs-Szatmár-Bereg","Észak-Alföld",0
"Gérce","nem_hatranyos _besorolasu","Sárvári","Vas","Nyugat-Dunántúl",0
"Gétye","nem_hatranyos _besorolasu","Keszthelyi","Zala","Nyugat-Dunántúl",0
"Gógánfa","HH","Sümegi","Veszprém","Közép-Dunántúl",0
"Gór","nem_hatranyos _besorolasu","Csepregi","Vas","Nyugat-Dunántúl",0
"Göd","nem_hatranyos _besorolasu","Dunakeszi","Pest","Közép-magyarország",0
